Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0.040635167,25.40562439,-18.56486511,-46.88528442,56.46529786
0.050634167,25.43108368,-18.55284119,-46.79653931,56.39914914
0.060634167,25.32424164,-18.60777283,-46.89486694,56.45081904
0.070633167,25.18368149,-18.64202881,-46.90628052,56.4087068
0.080633167,25.38560867,-18.45310974,-47.13955688,56.63112404
0.090632167,25.24365616,-18.20239258,-47.18035889,56.5203993
0.100632167,25.48707962,-18.25163269,-46.98358154,56.48159221
0.110631167,25.45979691,-18.25946045,-47.07913208,56.55133802
0.120631167,25.40867615,-18.3263092,-46.85797119,56.36598173
0.130630167,25.73790359,-18.13102722,-46.88739014,56.47655428
0.140630167,25.69818878,-18.07432556,-46.5894165,56.19298783
0.150629167,25.59443665,-18.07614136,-46.76037598,56.28814116
0.160629167,25.62107086,-17.96430969,-46.84707642,56.3365269
0.170628167,25.64780045,-18.1058197,-47.15548706,56.65042219
0.180628167,25.26712418,-17.9621582,-46.8288269,56.16053526
0.190627167,25.51523209,-18.04138184,-46.73980713,56.22391037
0.200627167,25.49631119,-17.96600342,-47.00744629,56.41399799
0.210626167,25.36166,-18.21533203,-47.04177856,56.46185482
0.220626167,25.28448486,-18.23936462,-47.08648682,56.47226609
0.230625167,25.29874039,-18.45761108,-47.22384644,56.66393336
0.240625167,25.21773148,-18.39364624,-47.33654785,56.70104907
0.250624167,25.42247009,-18.25512695,-46.94812012,56.42408731
0.260624167,25.21940994,-18.25646973,-46.9725647,56.35369694
0.270623167,25.06390762,-18.28842163,-46.48510742,55.88855914
0.280623167,25.24887466,-18.43754578,-46.76928711,56.25668834
0.290623167,25.18990326,-18.44790649,-46.88165283,56.32713247
0.300622167,25.24804688,-18.42170715,-46.45388794,55.98916744
0.310622167,25.17026901,-18.23292542,-46.40145874,55.84870083
0.320621167,24.77774429,-18.41236877,-46.42730713,55.75344638
0.330621167,25.35519791,-18.24739075,-46.95205688,56.39458286
0.340620167,25.29583359,-18.11306763,-46.68591309,56.10291344
0.350620167,25.49193192,-18.26048279,-46.43133545,56.02814236
0.360619167,25.4612236,-18.39051819,-46.740448,56.31300512
0.370619167,25.34264755,-18.16784668,-46.70593262,56.15838833
0.380618167,25.4443779,-18.42408752,-46.82318115,56.3850482
0.390618167,25.27763748,-18.2429657,-47.08746338,56.47117815
0.400617167,25.43025208,-18.30410767,-46.8968811,56.40084694
0.410617167,25.4983902,-18.24856567,-46.95367432,56.4608323
0.420616167,25.65434265,-18.29077148,-46.63070679,56.27717507
0.430616167,25.65380859,-18.13589478,-46.87445068,56.42909446
0.440615167,25.42470551,-18.09277344,-46.86102295,56.30026263
0.450615167,25.58689117,-18.18598938,-46.63369751,56.21495311
0.460614167,25.344944,-18.21412659,-46.98812866,56.40926191
0.470614167,25.49704361,-18.25721741,-46.6541748,56.21420859
0.480613167,25.58715057,-18.04666138,-46.33187866,55.9198287
0.490613167,25.44306564,-18.17172241,-46.40151978,55.95232008
0.500612167,25.43031693,-18.40185547,-46.79483032,56.34789658
0.510612167,25.44192886,-18.26521301,-46.99838257,56.47794007
0.520611167,25.45873642,-18.24957275,-46.89358521,56.39328417
0.530611167,25.51482391,-18.12413025,-46.76623535,56.2722943
0.540611167,25.59300995,-18.1625061,-46.62356567,56.20174074
0.550610167,25.40509796,-18.17694092,-46.59207153,56.09493126
0.560610167,25.42699051,-18.08302307,-46.92370605,56.35034835
